Dias,Confirmados,Recuperados,Mortos
04/04/20,29,4,1
05/04/20,32,4,2
06/04/20,39,4,2
07/04/20,51,23,2
08/04/20,107,23,2
09/04/20,110,51,2
10/04/20,166,55,2
11/04/20,193,83,5
12/04/20,237,92,5
13/04/20,244,99,6
14/04/20,308,133,7
15/04/20,340,145,7
16/04/20,362,161,10
17/04/20,375,166,10
18/04/20,393,171,10
19/04/20,416,189,11
20/04/20,435,206,13
21/04/20,466,222,13
22/04/20,492,236,14
23/04/20,555,258,16
24/04/20,648,272,18
25/04/20,689,285,20
26/04/20,821,306,23
27/04/20,860,335,27
28/04/20,918,419,28
29/04/20,1016,471,31
30/04/20,1080,475,34
01/05/20,1120,488,37
02/05/20,1187,507,40
03/05/20,1482,521,43
04/05/20,1733,531,49
05/05/20,1931,557,55
06/05/20,2046,596,56
07/05/20,2199,612,61
08/05/20,2322,640,66
09/05/20,2493,665,69
